Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Tango,13-Feb-17,9-Mar-17,Japan,Zirku,
Tango,13-Feb-17,7-Mar-17,Japan,Zirku,
Shinsei Maru,13-Feb-17,16-Feb-17,Japan,Kiire,
Syros Warrior,13-Feb-17,22-Feb-17,Japan,Kozmino,Taiyo Oil
Apollo Dream,13-Feb-17,5-Mar-17,Japan,Juaymah,
Toyo,13-Feb-17,4-Mar-17,Japan,Mina Al-Ahmadi,
Takasaki,12-Feb-17,3-Mar-17,Japan,Mina Al-Ahmadi,
Rio Orinoco,12-Feb-17,17-Apr-17,Japan,Bullenbay,
Rio Orinoco,12-Feb-17,11-Apr-17,Japan,Bullenbay,
Tango,11-Feb-17,9-Mar-17,Japan,Mesaieed,
Pacific Voyager,11-Feb-17,7-Mar-17,Japan,Das Island,
Toyo,11-Feb-17,8-Mar-17,Japan,Juaymah,
Toyo,11-Feb-17,4-Mar-17,Japan,Juaymah,
KRITI SAMARIA,11-Feb-17,15-Feb-17,Japan,Kozmino,BP
Kai-Ei,11-Feb-17,5-Mar-17,Japan,Das Island,
Tokyo Maru,11-Feb-17,13-Feb-17,Japan,Kiire,
Lian Ping Hu,11-Feb-17,15-Feb-17,Japan,Dalian,
Tsugaru,10-Feb-17,5-Mar-17,Japan,Juaymah,
Csk Shelton,10-Feb-17,3-Mar-17,Japan,Senipah,
Takasaki,10-Feb-17,6-Mar-17,Japan,Das Island,
Takasaki,10-Feb-17,3-Mar-17,Japan,Das Island,
Negishi Maru,10-Feb-17,12-Feb-17,Japan,Kiire,
Altair Trader,9-Feb-17,3-Mar-17,Japan,Ras Tanura,
Jin-Ei,9-Feb-17,2-Mar-17,Japan,Zirku,
Takaoka,9-Feb-17,4-Mar-17,Japan,Al Shaheen I,
Pacific Voyager,9-Feb-17,7-Mar-17,Japan,ADCOP Fujairah,
Jin-Ei,9-Feb-17,7-Mar-17,Japan,Kharg Island,
Jin-Ei,9-Feb-17,2-Mar-17,Japan,Kharg Island,
Shinsei Maru,8-Feb-17,10-Feb-17,Japan,Kiire,
Jin-Ei,8-Feb-17,7-Mar-17,Japan,Ras Laffan,
Kai-Ei,8-Feb-17,10-Mar-17,Japan,Mina Al-Ahmadi,
Kai-Ei,8-Feb-17,5-Mar-17,Japan,Mina Al-Ahmadi,
Kaimon Maru,7-Feb-17,10-Feb-17,Japan,Kiire,
Toyo,7-Feb-17,8-Mar-17,Japan,Mina Al Fahal,
Takaoka,7-Feb-17,10-Mar-17,Japan,Das Island,
Takaoka,7-Feb-17,8-Mar-17,Japan,Das Island,
Takaoka,7-Feb-17,4-Mar-17,Japan,Das Island,
Agios Fanourios I,7-Feb-17,2-Mar-17,Japan,Juaymah,Showa Shell Sekiyu
Kazusa,7-Feb-17,26-Feb-17,Japan,Zirku,
Yakumosan,7-Feb-17,26-Feb-17,Japan,Juaymah,
Altair Trader,7-Feb-17,3-Mar-17,Japan,Mesaieed,
Saiq,7-Feb-17,5-Mar-17,Japan,Mina Al-Ahmadi,Idemitsu
Songa Coral,7-Feb-17,12-Feb-17,Japan,Liuheng Terminal,Trafigura
Kiho,6-Feb-17,28-Feb-17,Japan,Ras Tanura,
Kiho,6-Feb-17,25-Feb-17,Japan,Ras Tanura,
Omega Trader,6-Feb-17,1-Mar-17,Japan,Zirku,
Bright Harmony,6-Feb-17,28-Feb-17,Japan,Al Basrah,
Bright Harmony,6-Feb-17,24-Feb-17,Japan,Al Basrah,
Negishi Maru,6-Feb-17,7-Feb-17,Japan,Kiire,
Idemitsu Maru,5-Feb-17,25-Feb-17,Japan,Zirku,
Viktor Titov,5-Feb-17,10-Feb-17,Japan,Sakhalin I,
Dht Falcon,4-Feb-17,23-Feb-17,Japan,Zirku,TonenGeneral
Shinsei Maru,4-Feb-17,6-Feb-17,Japan,Kiire,
Navig8 Supreme,4-Feb-17,22-Feb-17,Japan,Pelepas Light.,Shell
Omega Trader,4-Feb-17,1-Mar-17,Japan,Ras Tanura,
Karvounis,4-Feb-17,3-Apr-17,Japan,CPC Terminal,
Karvounis,4-Feb-17,1-Apr-17,Japan,CPC Terminal,
Oriental Jade,4-Feb-17,25-Feb-17,Japan,Ras Tanura,
Kaimon Maru,4-Feb-17,4-Feb-17,Japan,Kiire,
Brightoil Lucky,4-Feb-17,7-Feb-17,Japan,Kozmino,BP
Aqualiberty,3-Feb-17,4-Mar-17,Japan,Esmeraldas,
Tokyo Maru,3-Feb-17,6-Feb-17,Japan,Kiire,
Dht Falcon,3-Feb-17,27-Feb-17,Japan,Juaymah,TonenGeneral
Dht Falcon,3-Feb-17,23-Feb-17,Japan,Juaymah,TonenGeneral
Idemitsu Maru,2-Feb-17,25-Feb-17,Japan,Das Island,
Diamond Faith,1-Feb-17,15-Feb-17,Japan,Vopak Sebarok,
Diamond Faith,1-Feb-17,10-Feb-17,Japan,Vopak Sebarok,
Kazusa,1-Feb-17,27-Feb-17,Japan,Ras Tanura,
Kazusa,1-Feb-17,26-Feb-17,Japan,Ras Tanura,
Shinsei Maru,1-Feb-17,2-Feb-17,Japan,Kiire,
Fujikawa,31-Jan-17,11-Mar-17,Japan,Mina Al-Ahmadi,
Fujikawa,31-Jan-17,8-Mar-17,Japan,Mina Al-Ahmadi,
Eneos Breeze,31-Jan-17,25-Feb-17,Japan,Mina Al-Ahmadi,
Eneos Breeze,31-Jan-17,20-Feb-17,Japan,Mina Al-Ahmadi,
Tsurumi,31-Jan-17,25-Feb-17,Japan,Kharg Island,
Tsurumi,31-Jan-17,25-Feb-17,Japan,Bahregan,
M.Star,30-Jan-17,22-Feb-17,Japan,Ras Tanura,Idemitsu
Sea Holly,30-Jan-17,4-Feb-17,Japan,Kozmino,Trafigura
Victor Konetsky,30-Jan-17,3-Feb-17,Japan,Sakhalin I,
Tosa,29-Jan-17,17-Feb-17,Japan,Ras Tanura,
Diamond Bliss,29-Jan-17,9-Feb-17,Japan,Dumai,
Negishi Maru,29-Jan-17,31-Jan-17,Japan,Kiire,
Hakkaisan,28-Jan-17,19-Feb-17,Japan,Ras Tanura,
Tokyo Maru,28-Jan-17,31-Jan-17,Japan,Kiire,
Diamond Bliss,28-Jan-17,9-Feb-17,Japan,Chevron Dumai,
Fujikawa,28-Jan-17,11-Mar-17,Japan,Kharg Island,
Eneos Breeze,28-Jan-17,25-Feb-17,Japan,Zirku,
Eneos Tokyo,28-Jan-17,19-Feb-17,Japan,ADCOP Fujairah,
Eneos Tokyo,28-Jan-17,15-Feb-17,Japan,ADCOP Fujairah,
Morning Swan,28-Jan-17,18-Feb-17,Japan,Ras Laffan,
Setagawa,27-Jan-17,19-Feb-17,Japan,Juaymah,
Apolytares,27-Jan-17,17-Feb-17,Japan,Juaymah,Showa Shell Sekiyu
Kaimon Maru,27-Jan-17,30-Jan-17,Japan,Kiire,
Tosa,27-Jan-17,20-Feb-17,Japan,Mina Al-Ahmadi,
Tosa,27-Jan-17,17-Feb-17,Japan,Mina Al-Ahmadi,
Aquarius Wing,27-Jan-17,18-Feb-17,Japan,Juaymah,
Hakkaisan,26-Jan-17,22-Feb-17,Japan,Zirku,
Hakkaisan,26-Jan-17,19-Feb-17,Japan,Zirku,
Rokkosan,26-Jan-17,21-Feb-17,Japan,Ras Tanura,
Rokkosan,26-Jan-17,18-Feb-17,Japan,Ras Tanura,
Pavel Chernysh,26-Jan-17,6-Feb-17,Japan,Nakhodka,
M.Star,26-Jan-17,22-Feb-17,Japan,Jebel Dhanna,Idemitsu
Asian Progress Iii,26-Jan-17,22-Feb-17,Japan,Das Island,NGT
Eneos Tokyo,25-Jan-17,19-Feb-17,Japan,Ras Tanura,
Diamond Faith,25-Jan-17,15-Feb-17,Japan,Chevron Dumai,
Tsurumi,25-Jan-17,25-Feb-17,Japan,Mesaieed,
Tokyo Maru,25-Jan-17,26-Jan-17,Japan,Kiire,
Negishi Maru,24-Jan-17,26-Jan-17,Japan,Kiire,
Taiga,24-Jan-17,16-Feb-17,Japan,Al Shaheen,
Tosa,24-Jan-17,20-Feb-17,Japan,Das Island,
Ocean Accord,24-Jan-17,9-Feb-17,Japan,Wandoo,
Asian Progress Iii,23-Jan-17,22-Feb-17,Japan,Mubarraz Island,NGT
Katsuragisan,23-Jan-17,15-Feb-17,Japan,Zirku,
Katsuragisan,23-Jan-17,13-Feb-17,Japan,Zirku,
New Joviality,23-Jan-17,14-Feb-17,Japan,Ras Tanura,
Eneos Tokyo,23-Jan-17,19-Feb-17,Japan,Ras Laffan,
Sakhalin Island,23-Jan-17,29-Jan-17,Japan,Sakhalin II,
Ocean Voyager,23-Jan-17,29-Jan-17,Japan,Liuheng Terminal,Trafigura
Shinsei Maru,23-Jan-17,28-Jan-17,Japan,Kiire,
Yugawasan,23-Jan-17,14-Feb-17,Japan,Zirku,
Rokkosan,22-Jan-17,21-Feb-17,Japan,Mina Al-Ahmadi,
Taiga,22-Jan-17,19-Feb-17,Japan,Halul Island,
Taiga,22-Jan-17,16-Feb-17,Japan,Halul Island,
Tenki,22-Jan-17,13-Feb-17,Japan,Ras Tanura,NGT
Super Zearth,22-Jan-17,18-Feb-17,Japan,Mina Al-Ahmadi,
Eneos Ocean,22-Jan-17,17-Feb-17,Japan,Ras Tanura,
Eneos Ocean,22-Jan-17,13-Feb-17,Japan,Ras Tanura,
Ocean Accord,21-Jan-17,9-Feb-17,Japan,Nganhurra,
Toba,21-Jan-17,25-Jan-17,Japan,Okinawa,
Toba,21-Jan-17,23-Jan-17,Japan,Okinawa,
Katsuragisan,21-Jan-17,15-Feb-17,Japan,Kharg Island,
Yugawasan,21-Jan-17,14-Feb-17,Japan,Das Island,
Eneos Spirit,21-Jan-17,15-Feb-17,Japan,Ras Tanura,
Eneos Spirit,21-Jan-17,13-Feb-17,Japan,Ras Tanura,
Tokyo Maru,20-Jan-17,21-Jan-17,Japan,Kiire,
New Joviality,19-Jan-17,14-Feb-17,Japan,Das Island,
Negishi Maru,19-Jan-17,21-Jan-17,Japan,Kiire,
Taiga,19-Jan-17,19-Feb-17,Japan,Das Island,
Front Serenade,19-Jan-17,12-Feb-17,Japan,Juaymah,
Katsuragisan,19-Jan-17,15-Feb-17,Japan,Assaluyeh,
Mare Picenum,19-Jan-17,1-Mar-17,Japan,Salina Cruz,Cosmo Oil
Mare Picenum,19-Jan-17,27-Feb-17,Japan,Salina Cruz,Cosmo Oil
Tenki,19-Jan-17,13-Feb-17,Japan,Ras Laffan,NGT
Kyo-Ei,18-Jan-17,12-Feb-17,Japan,Mina Al-Ahmadi,
Super Zearth,18-Jan-17,18-Feb-17,Japan,Mesaieed,
Tenki,18-Jan-17,13-Feb-17,Japan,Zirku,NGT
Constitution Spirit,18-Jan-17,4-Feb-17,Japan,Ruby,
Sakuragawa,18-Jan-17,8-Feb-17,Japan,ADCOP Fujairah,
Yamatogawa,17-Jan-17,8-Feb-17,Japan,Ras Tanura,
Tsurusaki,17-Jan-17,9-Feb-17,Japan,Yanbu,
Kaimon Maru,17-Jan-17,21-Jan-17,Japan,Kiire,
Shinsei Maru,17-Jan-17,20-Jan-17,Japan,Kiire,
Pavel Chernysh,16-Jan-17,22-Jan-17,Japan,Sakhalin I,
Rokkosan,16-Jan-17,21-Feb-17,Japan,Zirku,
Yufusan,16-Jan-17,7-Feb-17,Japan,Mina Al-Ahmadi,
Yufusan,16-Jan-17,4-Feb-17,Japan,Mina Al-Ahmadi,
Sakuragawa,16-Jan-17,8-Feb-17,Japan,Halul Island,
Kyo-Ei,16-Jan-17,21-Feb-17,Japan,Das Island,
Kyo-Ei,16-Jan-17,18-Feb-17,Japan,Das Island,
Kyo-Ei,16-Jan-17,12-Feb-17,Japan,Das Island,
Tokitsu Maru,15-Jan-17,5-Feb-17,Japan,Juaymah,
Tokitsu Maru,15-Jan-17,1-Feb-17,Japan,Juaymah,
Negishi Maru,14-Jan-17,16-Jan-17,Japan,Kiire,
Tokyo Maru,14-Jan-17,16-Jan-17,Japan,Kiire,
Sea Hymn,14-Jan-17,18-Jan-17,Japan,Yangshan,
Nissho Maru,14-Jan-17,6-Feb-17,Japan,ADCOP Fujairah,
Asian Progress V,13-Jan-17,6-Feb-17,Japan,Ras Tanura,TonenGeneral
Yufusan,12-Jan-17,7-Feb-17,Japan,Zirku,
Kaimon Maru,12-Jan-17,14-Jan-17,Japan,Kiire,
Asian Progress V,12-Jan-17,7-Feb-17,Japan,Al Shaheen II,TonenGeneral
Asian Progress V,12-Jan-17,6-Feb-17,Japan,Al Shaheen II,TonenGeneral
Tsuruga,12-Jan-17,4-Feb-17,Japan,Mina Al-Ahmadi,
Tsuruga,12-Jan-17,31-Jan-17,Japan,Mina Al-Ahmadi,
Yufusan,12-Jan-17,7-Feb-17,Japan,Ras Laffan,
Tokitsu Maru,11-Jan-17,5-Feb-17,Japan,Das Island,
Nissho Maru,11-Jan-17,6-Feb-17,Japan,Mina Al-Ahmadi,
Shinsei Maru,11-Jan-17,13-Jan-17,Japan,Kiire,
Horaisan,11-Jan-17,7-Feb-17,Japan,Ras Tanura,
Horaisan,11-Jan-17,3-Feb-17,Japan,Ras Tanura,
Takahashi,10-Jan-17,3-Feb-17,Japan,Juaymah,
Takahashi,10-Jan-17,31-Jan-17,Japan,Juaymah,
Vega Trader,10-Jan-17,7-Feb-17,Japan,Juaymah,
Vega Trader,10-Jan-17,4-Feb-17,Japan,Juaymah,
Tsuruga,10-Jan-17,4-Feb-17,Japan,Ras Tanura,
Azumasan,10-Jan-17,9-Feb-17,Japan,Das Island,
Azumasan,10-Jan-17,5-Feb-17,Japan,Das Island,
Asian Progress V,10-Jan-17,7-Feb-17,Japan,Zirku,TonenGeneral
Governor Farkhutdinov,9-Jan-17,18-Jan-17,Japan,Sakhalin II,
Nissho Maru,9-Jan-17,6-Feb-17,Japan,Halul Island,
Negishi Maru,9-Jan-17,11-Jan-17,Japan,Kiire,
Isuzugawa,9-Jan-17,4-Feb-17,Japan,Das Island,
Nagaragawa,9-Jan-17,29-Jan-17,Japan,Juaymah,
Kashimasan,8-Jan-17,28-Jan-17,Japan,Mina Al Fahal,
Kaimon Maru,8-Jan-17,9-Jan-17,Japan,Kiire,
Isuzugawa,8-Jan-17,4-Feb-17,Japan,Zirku,
Vega Trader,7-Jan-17,7-Feb-17,Japan,Das Island,
British Osprey,7-Jan-17,6-Feb-17,Japan,Esmeraldas,
Takamatsu Maru,7-Jan-17,3-Feb-17,Japan,Ras Tanura,
Takamatsu Maru,7-Jan-17,31-Jan-17,Japan,Ras Tanura,
Nichinori,7-Jan-17,1-Feb-17,Japan,Mina Al-Ahmadi,
Nichinori,7-Jan-17,29-Jan-17,Japan,Mina Al-Ahmadi,
Takamine,7-Jan-17,29-Jan-17,Japan,Kharg Island,
Chokaisan,6-Jan-17,27-Jan-17,Japan,Juaymah,
Chokaisan,6-Jan-17,27-Jan-17,Japan,Juaymah,
Sakhalin Island,6-Jan-17,17-Jan-17,Japan,Sakhalin II,
Sakhalin Island,6-Jan-17,15-Jan-17,Japan,Sakhalin II,
Tokyo Maru,6-Jan-17,9-Jan-17,Japan,Kiire,
Azumasan,5-Jan-17,9-Feb-17,Japan,Mina Al-Ahmadi,
Bright Pioneer,5-Jan-17,30-Jan-17,Japan,Al Basrah,
Bright Pioneer,5-Jan-17,25-Jan-17,Japan,Al Basrah,
Towada,5-Jan-17,28-Jan-17,Japan,Ras Tanura,
Shinsei Maru,5-Jan-17,7-Jan-17,Japan,Kiire,
Kashimasan,4-Jan-17,28-Jan-17,Japan,Das Island,
Viktor Titov,4-Jan-17,10-Jan-17,Japan,Sakhalin I,
Nichinori,4-Jan-17,1-Feb-17,Japan,Das Island,
Negishi Maru,4-Jan-17,6-Jan-17,Japan,Kiire,
Perseus Trader,3-Jan-17,29-Jan-17,Japan,Juaymah,Idemitsu
Gassan,3-Jan-17,24-Jan-17,Japan,Juaymah,
Tamba,3-Jan-17,23-Jan-17,Japan,Zirku,
Kashimasan,3-Jan-17,3-Feb-17,Japan,Assaluyeh,
Kashimasan,3-Jan-17,28-Jan-17,Japan,Assaluyeh,
Sentosa River,2-Jan-17,20-Jan-17,Japan,Linggi Light.,
Libra Trader,2-Jan-17,25-Jan-17,Japan,Ras Tanura,
Ds Tina,2-Jan-17,28-Jan-17,Japan,Ras Tanura,
Tamba,2-Jan-17,25-Jan-17,Japan,Jebel Dhanna,
Tamba,2-Jan-17,23-Jan-17,Japan,Jebel Dhanna,
Kaimon Maru,2-Jan-17,4-Jan-17,Japan,Kiire,
Zaliv Aniva,1-Jan-17,8-Jan-17,Japan,Sakhalin II,
Takamine,1-Jan-17,29-Jan-17,Japan,Bahregan,
